,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,nnRegressor,tanh,None,19,None,None,adaptive,None,None,None,None,6,None,lbfgs,None,-0.006695789120574558,ok,2.3389237399678677
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,nnRegressor,tanh,None,21,None,None,invscaling,None,None,None,None,6,None,adam,None,0.38457142277856604,ok,5.584759220015258
2,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,randomForestRegressor,None,None,None,poisson,None,None,27.0,sqrt,13.0,9.0,None,None,None,None,0.0424992886274681,ok,11.591755346860737
3,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,nnRegressor,logistic,None,13,None,None,invscaling,None,None,None,None,3,None,adam,None,0.2948920804694115,ok,14.022511017043144
4,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,kneighborsRegressor,None,auto,None,None,9.0,None,None,None,None,None,None,9.0,None,uniform,0.07194036418398675,ok,14.153709162957966
5,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,kneighborsRegressor,None,ball_tree,None,None,34.0,None,None,None,None,None,None,7.0,None,distance,0.27943022127407935,ok,14.26259320601821
6,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,randomForestRegressor,None,None,None,poisson,None,None,10.0,auto,4.0,12.0,None,None,None,None,0.002091065142098225,ok,23.412910841871053
7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,randomForestRegressor,None,None,None,mae,None,None,13.0,log2,16.0,34.0,None,None,None,None,0.08719957108329857,ok,74.51748373103328
8,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,kneighborsRegressor,None,ball_tree,None,None,19.0,None,None,None,None,None,None,6.0,None,uniform,0.25833695232257803,ok,74.63932159193791
9,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,randomForestRegressor,None,None,None,poisson,None,None,68.0,sqrt,15.0,27.0,None,None,None,None,0.15837610200504726,ok,80.54458206798881
